entity,added,deleted,commits
compiler/packages/babel-plugin-react-compiler/src/Validation/ValidateNoDerivedComputationsInEffects.ts,260,31,9
packages/react-reconciler/src/__tests__/ReactHooksWithNoopRenderer-test.js,260,972,9
packages/shared/ReactTypes.js,259,39,33
packages/react-server-dom-unbundled/src/client/ReactFlightDOMClientEdge.js,259,0,2
packages/react-devtools-shared/src/devtools/views/Components/Tree.js,256,232,10
compiler/packages/babel-plugin-react-compiler/src/Inference/DropManualMemoization.ts,256,186,19
packages/eslint-plugin-react-hooks/src/code-path-analysis/fork-context.js,252,0,1
compiler/packages/babel-plugin-react-compiler/src/__tests__/fixtures/compiler/exhaustive-deps/error.invalid-exhaustive-deps.expect.md,251,89,4
flow-typed/environments/serviceworkers.js,248,0,1
packages/react-reconciler/src/ReactFiberHydrationContext.js,247,63,8
fixtures/dom/src/components/fixtures/fragment-refs/CompareDocumentPositionFragmentContainer.js,246,0,1
compiler/packages/eslint-plugin-react-compiler/src/rules/ReactCompilerRule.ts,246,383,11
packages/react-devtools-shared/src/hydration.js,246,12,6
compiler/apps/playground/__tests__/e2e/page.spec.ts,245,70,11
packages/react-devtools-shared/src/devtools/views/Profiler/HookChangeSummary.js,243,34,3
packages/react-flight-server-fb/src/ReactServerStreamConfigFB.js,240,0,1
packages/react-flight-server-fb/src/client/ReactFlightClientConfigBundlerFB.js,239,0,1
packages/react-dom/src/server/ReactDOMFizzStaticNode.js,239,62,5
packages/react-server-dom-turbopack/src/__tests__/ReactFlightTurbopackDOMEdge-test.js,239,21,4
packages/eslint-plugin-react-hooks/src/code-path-analysis/code-path.js,239,0,1
compiler/packages/babel-plugin-react-compiler/src/Validation/ValidateNoSetStateInEffects.ts,239,51,11
packages/react-reconciler/src/__tests__/ReactSuspenseEffectsSemantics-test.js,235,216,3
compiler/packages/babel-plugin-react-compiler/src/Validation/ValidatePreservedManualMemoization.ts,234,184,19
compiler/packages/babel-plugin-react-compiler/docs/passes/42-validateNoCapitalizedCalls.md,234,13,2
compiler/packages/babel-plugin-react-compiler/docs/passes/38-memoizeFbtAndMacroOperandsInSameScope.md,231,0,1
compiler/packages/babel-plugin-react-compiler/src/__tests__/fixtures/compiler/new-mutability/aliased-nested-scope-truncated-dep.expect.md,229,17,5
compiler/packages/babel-plugin-react-compiler/src/Validation/ValidateNoFreezingKnownMutableFunctions.ts,229,68,12
packages/react-server-dom-turbopack/src/__tests__/ReactFlightTurbopackDOMNode-test.js,228,22,4
scripts/tasks/generate-changelog/formatters.js,228,0,1
packages/react-dom/src/server/ReactDOMFizzServerNode.js,227,9,3
compiler/packages/babel-plugin-react-compiler/src/__tests__/fixtures/compiler/aliased-nested-scope-truncated-dep.expect.md,227,16,5
packages/eslint-plugin-react-hooks/src/code-path-analysis/code-path-segment.js,225,0,1
compiler/packages/babel-plugin-react-compiler/docs/passes/36-outlineJSX.md,224,0,1
packages/react-dom/src/__tests__/ReactDOMSrcObject-test.js,223,3,2
compiler/packages/babel-plugin-react-compiler/src/HIR/TypeSchema.ts,223,3,6
packages/internal-test-utils/consoleMock.js,219,270,7
fixtures/flight/src/App.js,219,57,15
compiler/packages/babel-plugin-react-compiler/src/Entrypoint/Gating.ts,217,85,5
compiler/packages/babel-plugin-react-compiler/src/ReactiveScopes/PruneHoistedContexts.ts,217,147,5
packages/react-devtools-shell/index.html,216,75,2
compiler/packages/babel-plugin-react-compiler/src/__tests__/fixtures/compiler/new-mutability/array-map-named-callback-cross-context.expect.md,216,82,3
packages/react-server-dom-parcel/src/client/ReactFlightDOMClientBrowser.js,215,71,10
compiler/packages/babel-plugin-react-compiler/src/TypeInference/InferTypes.ts,214,98,16
compiler/packages/babel-plugin-react-compiler/src/__tests__/fixtures/compiler/inner-function/nullable-objects/array-map-named-callback-cross-context.expect.md,214,81,3
compiler/packages/babel-plugin-react-compiler/docs/passes/26-mergeReactiveScopesThatInvalidateTogether.md,213,0,1
packages/react-dom-bindings/src/events/plugins/ScrollEndEventPlugin.js,212,0,1
compiler/packages/babel-plugin-react-compiler/src/__tests__/fixtures/compiler/new-mutability/todo-control-flow-sensitive-mutation.expect.md,212,54,5
compiler/packages/snap/src/sprout/shared-runtime-type-provider.ts,211,1,4
packages/eslint-plugin-react-hooks/src/rules/RulesOfHooks.ts,210,43,11
compiler/packages/babel-plugin-react-compiler/src/__tests__/fixtures/compiler/exhaustive-deps.expect.md,209,8,2
packages/eslint-plugin-react-hooks/__tests__/ReactCompilerRuleTypescript-test.ts,208,7,6
packages/react-server/src/__tests__/ReactFlightServer-test.js,208,8,4
compiler/apps/playground/components/Editor/Output.tsx,208,76,14
packages/react-devtools-shared/src/devtools/views/Profiler/useCommitFilteringAndNavigation.js,207,0,2
compiler/packages/babel-plugin-react-compiler/src/Inference/InferMutationAliasingFunctionEffects.ts,206,0,1
compiler/packages/babel-plugin-react-compiler/src/__tests__/fixtures/compiler/weakmap-constructor.expect.md,206,6,2
compiler/packages/babel-plugin-react-compiler/src/__tests__/fixtures/compiler/weakset-constructor.expect.md,206,6,2
compiler/packages/babel-plugin-react-compiler/src/Validation/ValidateUseMemo.ts,205,66,12
packages/react-server/src/ReactFlightStackConfigV8.js,205,31,6
compiler/packages/babel-plugin-react-compiler/src/Entrypoint/Options.ts,204,71,18
compiler/packages/babel-plugin-react-compiler/docs/passes/32-transformFire.md,203,203,2
compiler/packages/babel-plugin-react-compiler/docs/passes/29-promoteUsedTemporaries.md,203,0,1
packages/react-dom/src/__tests__/ReactDOMTextarea-test.js,202,181,1
fixtures/dom/src/components/fixtures/fragment-refs/IntersectionObserverCase.js,202,47,2
compiler/packages/babel-plugin-react-compiler/src/__tests__/fixtures/compiler/new-mutability/transitivity-add-captured-array-to-itself.expect.md,201,53,5
packages/react-devtools-shell/src/app/SuspenseTree/index.js,200,9,3
compiler/packages/babel-plugin-react-compiler/docs/passes/30-renameVariables.md,200,0,1
compiler/packages/babel-plugin-react-compiler/docs/passes/55-validateSourceLocations.md,199,0,1
packages/react-reconciler/src/__tests__/ReactActWarnings-test.js,196,125,3
packages/react-devtools-shared/src/devtools/views/DevTools.js,195,133,9
flow-typed/environments/web-animations.js,193,0,1
compiler/packages/babel-plugin-react-compiler/src/__tests__/fixtures/compiler/valid-setState-in-useEffect-via-useEffectEvent-with-ref.expect.md,193,0,2
packages/react-reconciler/src/__tests__/ReactIncremental-test.js,192,120,2
compiler/packages/babel-plugin-react-compiler/docs/passes/39-validateContextVariableLValues.md,192,0,1
scripts/tasks/generate-changelog/data.js,190,0,1
packages/react-devtools-shared/src/devtools/views/SuspenseTab/SuspenseTab.css,190,53,14
compiler/apps/playground/components/AccordionWindow.tsx,189,63,7
packages/react-reconciler/src/__tests__/Activity-test.js,188,696,8
compiler/packages/babel-plugin-react-compiler/docs/passes/35-optimizeForSSR.md,187,0,1
packages/react-server/src/ReactServerStreamConfigNodeWebStreams.js,186,186,2
compiler/packages/react-mcp-server/src/utils/runtimePerf.ts,186,39,3
fixtures/dom/src/components/fixtures/fragment-refs/ScrollIntoViewCase.js,186,2,2
packages/react-reconciler/src/ReactFiberViewTransitionComponent.js,185,93,13
fixtures/eslint-v9/index.js,184,2,4
compiler/packages/babel-plugin-react-compiler/src/HIR/HIRBuilder.ts,184,163,13
compiler/packages/babel-plugin-react-compiler/docs/passes/28-propagateEarlyReturns.md,183,0,1
packages/react-reconciler/src/__tests__/ReactContextPropagation-test.js,183,7,4
packages/react-client/src/ReactFlightReplyClient.js,183,93,13
compiler/packages/babel-plugin-react-compiler/src/Transform/NameAnonymousFunctions.ts,183,4,3
compiler/packages/babel-plugin-react-compiler/docs/passes/02-enterSSA.md,182,0,1
fixtures/eslint-v10/index.js,182,0,1
.github/workflows/runtime_releases_from_npm_manual.yml,182,54,16
packages/react-reconciler/src/__tests__/ReactTransitionTracing-test.js,181,169,4
compiler/packages/babel-plugin-react-compiler/src/Inference/InlineImmediatelyInvokedFunctionExpressions.ts,180,111,3
compiler/packages/babel-plugin-react-compiler/docs/passes/21-buildReactiveFunction.md,180,0,1
compiler/packages/babel-plugin-react-compiler/docs/passes/48-validateNoImpureValuesInRender.md,180,0,1
compiler/packages/babel-plugin-react-compiler/src/Inference/AnalyseFunctions.ts,178,254,12
packages/react-dom/src/__tests__/ReactDOMFizzStaticNodeWebStreams-test.js,177,177,2
compiler/packages/babel-plugin-react-compiler/docs/passes/15-alignReactiveScopesToBlockScopesHIR.md,177,0,1
compiler/packages/babel-plugin-react-compiler/src/__tests__/fixtures/compiler/error.invalid-exhaustive-deps.expect.md,176,176,5
compiler/packages/babel-plugin-react-compiler/docs/passes/11-inferReactiveScopeVariables.md,176,0,1
compiler/packages/babel-plugin-react-compiler/docs/passes/33-lowerContextAccess.md,174,174,2
packages/react-native-renderer/src/__tests__/ReactFabric-test.internal.js,174,21,8
packages/react-server-dom-turbopack/src/client/ReactFlightDOMClientBrowser.js,173,39,9
packages/react-server-dom-webpack/src/client/ReactFlightDOMClientBrowser.js,173,39,9
packages/react-server-dom-esm/src/client/ReactFlightDOMClientBrowser.js,173,40,9
packages/eslint-plugin-react-hooks/README.md,172,97,9
compiler/packages/babel-plugin-react-compiler/src/HIR/PrintHIR.ts,172,65,18
compiler/packages/react-forgive/client/src/extension.ts,171,102,6
packages/react-reconciler/src/ReactFiberRootScheduler.js,171,58,17
packages/react-devtools-shared/src/__tests__/storeStressSync-test.js,171,69,2
compiler/packages/eslint-plugin-react-compiler/__tests__/PluginTest-test.ts,170,35,5
fixtures/eslint-v8/index.js,169,2,3
packages/react-server-dom-turbopack/src/__tests__/ReactFlightTurbopackDOMBrowser-test.js,169,13,3
compiler/packages/babel-plugin-react-compiler/docs/passes/37-outlineFunctions.md,169,0,1
packages/react-devtools-shared/src/__tests__/profilingCommitTreeBuilder-test.js,169,231,8
fixtures/eslint-v7/index.js,169,2,3
fixtures/eslint-v6/index.js,169,2,3
compiler/packages/babel-plugin-react-compiler/docs/passes/10-inferReactivePlaces.md,169,0,1
compiler/packages/babel-plugin-react-compiler/docs/passes/47-validateNoJSXInTryStatement.md,167,0,1
packages/react-dom/src/__tests__/ReactServerRendering-test.js,165,173,4
compiler/packages/babel-plugin-react-compiler/src/__tests__/fixtures/compiler/mixedreadonly-mutating-map.expect.md,165,10,2
packages/react/src/ReactStartTransition.js,163,38,7
compiler/packages/babel-plugin-react-compiler/src/__tests__/fixtures/compiler/bug-invalid-mixedreadonly-map-shape.expect.md,163,163,2
compiler/packages/babel-plugin-react-compiler/src/__tests__/fixtures/compiler/try-catch-multiple-value-blocks.expect.md,163,0,1
