entity,coupled,degree,average-revs
packages/react-native-renderer/src/ReactFiberConfigNative.js,packages/react-noop-renderer/src/createReactNoop.js,73,26
packages/react-devtools-extensions/chrome/manifest.json,packages/react-devtools/CHANGELOG.md,73,10
packages/react-devtools-extensions/chrome/manifest.json,packages/react-devtools-timeline/package.json,73,10
packages/react-devtools-core/package.json,packages/react-devtools-extensions/edge/manifest.json,73,10
packages/react-devtools-extensions/edge/manifest.json,packages/react-devtools/CHANGELOG.md,73,10
packages/react-devtools-extensions/firefox/manifest.json,packages/react-devtools/package.json,73,10
packages/react-devtools-core/package.json,packages/react-devtools-extensions/chrome/manifest.json,73,10
packages/react-devtools-extensions/edge/manifest.json,packages/react-devtools-timeline/package.json,73,10
packages/react-devtools-extensions/firefox/manifest.json,packages/react-devtools-inline/package.json,73,10
packages/react-server/src/ReactFlightAsyncSequence.js,packages/react-server/src/ReactFlightServerConfigDebugNode.js,72,13
packages/react-art/src/ReactFiberConfigART.js,packages/react-noop-renderer/src/createReactNoop.js,71,21
packages/react-server-dom-parcel/src/server/ReactFlightDOMServerBrowser.js,packages/react-server-dom-parcel/src/server/ReactFlightDOMServerNode.js,71,7
packages/react-server-dom-parcel/src/server/ReactFlightDOMServerEdge.js,packages/react-server-dom-parcel/src/server/ReactFlightDOMServerNode.js,71,7
packages/react/index.development.js,packages/react/index.js,71,7
packages/react/index.js,packages/react/index.stable.development.js,71,7
compiler/apps/playground/components/AccordionWindow.tsx,compiler/apps/playground/components/TabbedWindow.tsx,71,7
packages/shared/forks/ReactFeatureFlags.www-dynamic.js,packages/shared/forks/ReactFeatureFlags.www.js,70,49
packages/react-devtools-shared/src/backend/types.js,packages/react-devtools-shared/src/backendAPI.js,70,17
.github/workflows/compiler_typescript.yml,.github/workflows/devtools_regression_tests.yml,70,10
.github/workflows/runtime_eslint_plugin_e2e.yml,.github/workflows/shared_lint.yml,69,12
packages/react-dom-bindings/src/server/ReactFizzConfigDOM.js,packages/react-markup/src/ReactFizzConfigMarkup.js,68,19
.github/workflows/compiler_discord_notify.yml,.github/workflows/shared_label_core_team_prs.yml,66,17
packages/react-devtools-shared/src/backend/legacy/renderer.js,packages/react-devtools-shared/src/backendAPI.js,66,14
compiler/packages/babel-plugin-react-compiler/src/HIR/Globals.ts,compiler/packages/babel-plugin-react-compiler/src/HIR/ObjectShape.ts,66,14
packages/react-markup/src/ReactFizzConfigMarkup.js,packages/react-noop-renderer/src/ReactNoopServer.js,66,12
packages/react-art/src/ReactFiberConfigART.js,packages/react-reconciler/src/ReactFiberConfigWithNoMutation.js,66,12
packages/react-devtools-extensions/edge/manifest.json,packages/react-devtools-inline/package.json,66,11
packages/react-devtools-extensions/chrome/manifest.json,packages/react-devtools-inline/package.json,66,11
.github/workflows/compiler_playground.yml,.github/workflows/devtools_regression_tests.yml,66,11
compiler/apps/playground/components/AccordionWindow.tsx,compiler/apps/playground/components/Editor/Output.tsx,66,11
packages/react-devtools-extensions/edge/manifest.json,packages/react-devtools/package.json,66,11
packages/react-devtools-extensions/chrome/manifest.json,packages/react-devtools/package.json,66,11
.github/workflows/compiler_typescript.yml,.github/workflows/shared_lint.yml,66,9
compiler/packages/babel-plugin-react-compiler/package.json,compiler/packages/eslint-plugin-react-compiler/package.json,66,8
compiler/packages/babel-plugin-react-compiler/package.json,compiler/packages/snap/package.json,66,8
packages/react-devtools-shared/src/backend/legacy/renderer.js,packages/react-devtools-shared/src/backend/types.js,64,19
.github/workflows/runtime_discord_notify.yml,.github/workflows/shared_label_core_team_prs.yml,64,17
packages/react-devtools-shared/src/devtools/views/Profiler/CommitTreeBuilder.js,packages/react-devtools-shared/src/utils.js,64,17
.github/workflows/runtime_releases_from_npm_manual.yml,.github/workflows/shared_lint.yml,64,13
